START_TIME,PROBLEM_DESCRIPTION,END_TIME,ACKNOWLEDGE_MESSAGE,DURATION,HOSTNAME,Severity_Description
02-10-2023 18:18,Azure: There are errors in requests to API,02-10-2023 18:19,,0d 0h 1m 4s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 17:36,Forecast CPU Utilization High,02-10-2023 17:40,,0d 0h 4m 0s,Calculated and Aggregate items,Warning
02-10-2023 15:21,Azure: There are errors in requests to API,02-10-2023 15:24,,0d 0h 2m 57s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 15:18,Azure: There are errors in requests to API,02-10-2023 15:18,,0d 0h 0m 52s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 12:51,Azure: There are errors in requests to API,02-10-2023 12:51,,0d 0h 0m 53s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 11:59,Port 45193 is down for sometime,-,,,Zabbix-Server-Active,High
02-10-2023 11:58,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,03-10-2023 10:09,,0d 22h 11m 0s,Zabbixproxy,Information
02-10-2023 11:58,Zabbix server: More than 100 items having missing data for more than 10 minutes,03-10-2023 10:09,,0d 22h 11m 0s,Zabbix-Server-Active,Information
02-10-2023 11:58,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,03-10-2023 10:09,,0d 22h 11m 0s,Zabbixproxy2,Information
02-10-2023 11:48,Azure: There are errors in requests to API,02-10-2023 11:48,,0d 0h 0m 48s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 11:45,Forecast Memory Utilization High,02-10-2023 11:46,,0d 0h 1m 0s,Calculated and Aggregate items,Warning
02-10-2023 11:41,Azure: There are errors in requests to API,02-10-2023 11:45,,0d 0h 3m 57s,Azure virtual machine Ubuntu20.04,Warning
02-10-2023 11:38,Zabbix proxy: has been restarted,02-10-2023 11:48,,0d 0h 10m 0s,Zabbixproxy,Not Classified
02-10-2023 11:38,has been restarted,02-10-2023 11:48,,0d 0h 9m 30s,Linux Server,Information
02-10-2023 11:38,has been restarted,02-10-2023 11:48,,0d 0h 10m 0s,Zabbix-Server-Active,Information
02-10-2023 11:38,Zabbix proxy: Utilization of http poller processes is high,02-10-2023 11:39,,0d 0h 1m 0s,Zabbixproxy,Warning
02-10-2023 11:38,Zabbix proxy: Utilization of http poller processes is high,02-10-2023 11:39,,0d 0h 1m 0s,Zabbixproxy2,Warning
02-10-2023 11:38,Zabbix server: Utilization of http poller processes is high,02-10-2023 11:40,,0d 0h 2m 0s,Zabbix-Server-Active,Warning
02-10-2023 11:38,Zabbix proxy: has been restarted,02-10-2023 11:48,,0d 0h 10m 0s,Zabbixproxy2,Not Classified
02-10-2023 11:38,High CPU utilization,02-10-2023 11:39,,0d 0h 1m 0s,Linux Server,Average
02-10-2023 01:59,Combined triggers,-,,,Zabbix-Server-Active,Not Classified
02-10-2023 01:59,Combined triggers,-,,,Zabbix-Server-Active,Not Classified
02-10-2023 01:58,/: Disk space is low,-,,,Zabbix-Server-Active,Information
02-10-2023 01:58,/: Disk space is low,-,,,Zabbix-Server-Active,Information
02-10-2023 01:58,/: Disk space is low,-,,,Zabbix-Server-Active,Information
02-10-2023 01:58,Space Utilization > 80%,-,,,Zabbix-Server-Active,Not Classified
